STL,English,Complexity
"always[2,6](y3 < 10) -> not (eventually[3,5](z3 > 20))","Whenever signal y3 remains under 10 during the interval [2,6], it implies that signal z3 must not exceed 20 at any point in the interval [3,5].",non-nested
"always[100,500](((10 <= z) and (z <= 50)) and (z > 50 -> eventually[0,100](always[0,40](((20 <= z) and (z <= 30))))))","From time units 100 to 500, signal z must remain within the range [10, 50], and anytime signal z exceeds 50, it should drop back within [20, 30] before 100 time units elapse and remain there for at least 40 time units.",nested
"always[100,500]((x > 10) -> eventually[0,50](always[0,30](x < 3)))","From time 100 to 500, if signal x is above 10, then it must drop below 3 within the next 50 time units and remain below 3 for the subsequent 30 time units.",non-nested
"always[8,10](T_1 < 25) -> eventually[11,12](R_1 > 0.5)","Whenever the temperature signal T_1 remains below 25 degrees between 8:00 and 10:00 AM, we should expect rain, indicated by R_1 exceeding 0.5, at least once in the interval from 11:00 to 12:00 PM.",non-nested
"always[2,6](p1 > 100) <-> eventually[3,5](t1 < -20)","The pressure signal p1 remains above 100 throughout the interval [2,6] if and only if the temperature signal t1 goes below -20 at least once between [3,5].",non-nested
"always[0,5](y<0.4) -> always[10,20](y>0.2)",The signal y must exceed 0.2 continuously from 10 to 20 time units after it remains below 0.4 for the first 5 time units.,non-nested
"always[0,5](x_3 >= 10 and x_3 <= 15) <-> not eventually[0,5](x_4 > 20)","The robot's arm joint angle x_3 remains within the range [10, 15] for the duration of the initial 5 seconds iff during the same period, the torque x_4 does not exceed 20 Newton-meters.",non-nested
"always[10,20](x1 < 2.5) -> always[20,30](x1 < 3)","In a robotic operation, if the sensor value x1 stays below 2.5 for the entire duration between 10 and 20 seconds, it must continue to stay below 3 for the following 10 seconds.",non-nested
"always[2,5](x1 > 4) and always[2,5](x2 < -1)","The robot's movement parameter x1 consistently exceeds the threshold 4 for a period between 2 and 5 seconds, while the sensory input x2 remains below the safety limit -1 for the same duration.",non-nested
"always[0,50](x1 > 10 and x2 < 20) -> always[20,70](x3 > 15)","If signal x1 remains above 10 from 0 to 50 seconds, and during this period signal x2 is always below 20, then after this period, within 20 to 70 seconds, signal x3 must consistently exceed 15.\",non-nested
"always[0,60](x_1 > 5) and always[0,30](t_1 <= 30)","The robot's proximity sensor signal x_1 must always remain above 5 units during any 60-second period, while simultaneously, its temperature sensor signal t_1 must never exceed 30 units within the first 30 seconds.",non-nested
"always[2,4](x_3 > 10) -> (always[5,8](x_1 < 5) until[6,9](x_2 < -3))","Whenever x3 exceeds 10 during the interval [2,4], it should follow that x1 remains under 5 for the duration [5,8], unless x2 drops below -3 at any point between [6,9].",non-nested
"not (v > 10) until[2,6] (i > 5)",The voltage v remains below 10 units until the current i exceeds 5 units between time 2 to 6 seconds.,non-nested
"always[1,3](x_4 < 25) -> eventually[2,4](x_3 > 10)","The robot’s sensor x3 must detect an object at a distance greater than 10 units for at least once during the interval [2,4], provided that the temperature sensor x4 remains below 25 degrees Celsius throughout the interval [1,3].",non-nested
"always[0,100](p1 < 0.5) -> eventually[0,50](p2 > 1)","If pressure p1 remains below 0.5 bars for at least 100 units of time, then pressure p2 must exceed 1 bar within the following 50 units of time.",non-nested
"always[0,60](x1 < 10) -> always[60,120](x2 <= 15)","In a robotic system, if the pressure sensor reading x1 remains consistently below 10 units from the start until 60 seconds, that guarantees the actuator x2 will not exceed 15 units anytime between 60 to 120 seconds.",non-nested
"eventually[200,400](m > 50) -> eventually[0,600](always[0,100](m < 10))","If the value of sensor m exceeds 50 at any time between 200 and 400 time units, then it must remain below 10 for at least 100 consecutive units within 600 time units.",non-nested
"always[2,6](x3 < 2) and eventually[6,10](x3 > 4)","The signal x3 remains consistently less than 2 between times 2 and 6, but afterwards it must exceed 4 before time 10.",non-nested
"always[100,500]((p > 200) -> (eventually[0,30](p < 50) and always[0,10](p < 100)))","Between 100 and 500 time units, if the pressure p exceeds 200 units, it must drop below 50 units within the next 30 time units and should stay below 100 units for at least 10 consecutive time units.",non-nested
"always[0,30](p1 < 5) -> eventually[0,60](v1 > 20)","In an autonomous vehicle, if the proximity sensor value p1 remains below 5 units for at least 30 seconds, then at some point within the subsequent 60 seconds, the speed v1 should increase to more than 20 m/s.",non-nested
"always[100,500] ((v <= 10) and ((v > 10) -> eventually[0,50] (always[0,10] (v < 8))))","The voltage v must not exceed 10 volts from time 100 to 500, and if it exceeds, it should drop below 8 volts within 50 time units and remain below this threshold for at least 10 time units.",non-nested
"always[0,10](a1 > 0.5) -> eventually[0,60](p1 < 0.3)","When a robotic arm's acceleration signal a1 exceeds 0.5 m/s² for at least 10 seconds continuously, the arm should reduce the pressure signal p1 below 0.3 bar within the subsequent 60 seconds.",non-nested
"always[0,60](speed >= 30 and speed <= 50) until[60,60](always[60,90](speed <= 60))","The autonomous vehicle should maintain a speed between 30 km/h and 50 km/h until it has been driving for 60 time units; after which, the speed must not exceed 60 km/h for the next 30 time units.",nested
"always[50,200](x_3 <= 0.5 -> eventually[2,4](x_4 <= 0.3))","Between time units 50 and 200, the value of signal x_3 should not exceed 0.5 followed by signal x_4 not exceeding 0.3 within the next 2 to 4 units.",nested
"eventually[0,100](v_1 > 10 and always[0,100](i_2 >= 2)) -> always[100,160](p_1 > 5)","Whenever voltage v1 exceeds 10 volts within the first 100 seconds and current i2 does not fall below 2A during this period, then pressure p1 will always remain above 5 units in the subsequent 60 seconds.",nested
"always(obstacle_distance < 5 -> eventually[0,10](speed < 20) and always[10,25](speed < 20))","Whenever the autonomous vehicle detects an obstacle within a 5-meter range, it must decrease its speed to less than 20 km/h within the next 10 seconds and maintain this reduced speed for at least 15 seconds.",non-nested
"always[0,120]((v > 20) -> eventually[0,10](v < 10))","Throughout a period of 120 time units, whenever vehicle speed v reaches beyond 20 km/h within school zones, it must reduce to below 10 km/h within the next 10 seconds.",non-nested
"always(distance < 5 -> eventually[0,3]((speed < previous_speed) or (acceleration < 0)))",The autonomous vehicle must slow down if the distance to the vehicle in front is less than 5 meters for more than 3 seconds.,non-nested
"always[0,2](x1 > 3) -> always[0,2](x2 <= 10)","If robot sensor x1 remains above 3 throughout [0,2], then motor speed x2 must not exceed 10 at any point during [0,2].",non-nested
"always[0,30](h1 < 40) -> eventually[0,60](t3 > 90)","Whenever the humidity h1 drops below 40% for at least 30 consecutive seconds, the temperature t3 must exceed 90 degrees within the following minute.",non-nested
"always[100,500]((x > 10) and (z > 50 -> eventually[0,100](always[0,50](z < 30))))","From the 100th to the 500th time units, signal x must remain above 10, and during the same period, if signal z exceeds 50, it must fall below 30 within 100 time units and remain under that threshold for at least 50 time units.",non-nested
"always[0,10](y > 0.2 and z < 0.4) -> always[10,30](y > 0.5)","If signal y remains above 0.2 constantly from the start and up to 10 time units, while z stays below 0.4 within the same interval, then signal y should remain above 0.5 for at least another 20 units after the initial 10 units.",non-nested
"always[0,5](p_1 > 10) -> always[2,10](v_1 > 30)","Whenever the pressure p1 exceeds 10 units from the start until 5 minutes, it implies that the volume v1 will remain above 30 units starting 2 minutes after and lasting until the 10th minute.",non-nested
"eventually[0,50](p_1 > 100) -> eventually[0,200](always[0,30](p_2 < 20))","If the pressure p1 increases to above 100 units within the first 50 seconds, it must hold that for at least 30 consecutive seconds the pressure p2 will decrease to less than 20 units within the next 200 seconds.",non-nested
"always[0,15](proximity >= 2)","The proximity sensor should detect no objects closer than 2 meters throughout the entire duration [0,15] minutes to avoid collisions while autonomous vehicle is in operation.",non-nested
"always[10,20]((x_1<0.5) -> always[1,2](x_3<=1.2))","Whenever signal x_1 is below 0.5 between 10 and 20 seconds, signal x_3 must not exceed 1.2 in the subsequent 1 to 2 seconds.",non-nested
"always(in_school_zone -> (speed <= 25 until[0,600] (emergency_stop)))","Whenever the autonomous vehicle enters a school zone, the speed must not exceed 25 km/h and should maintain this speed for at least the next 10 minutes unless an emergency stop is required.",non-nested
"always[50,200](z > 10) and eventually[200,500](always[0,100](z < 5))","Signal z must remain above the threshold of 10 during the interval [50, 200], and following the interval [50, 200], it must drop below 5 for at least 100 time units within the subsequent 300 time units.",non-nested
"eventually[0,5](always[0,10](v_1 > 30))","If the velocity v1 exceeds 30 m/s starting anytime from now up to the next 5 seconds, it should strictly remain above that level for the next 10 seconds.",nested
"always[100,2000](z<=50 and z>=20 and (z<10 -> eventually[0,50](z>=15)))","During the time interval from 100 to 2000 units, signal z must not exceed a value of 50 and should remain above 20. Additionally, upon dipping below 10, signal z must recover to at least 15 within 50 time units.",nested
"eventually[10,60](p1 > 80) -> always[0,20](v1 <= 5)","The pressure p1 should rise above 80 psi at least once between 10 and 60 seconds, and following this event, the vibration v1 must not exceed 5 units for the next 20 seconds.",non-nested
"always[0,200](x_3 <= 5 until[0,50] (x_4 < 2))","For the duration of 200 seconds starting now, the value of signal x_3 should not exceed 5 unless signal x_4 first decreases below 2 within the initial 50 seconds.",nested
"always[0,20](speed > 60) -> eventually[0,10](speed < 30)","If the autonomous vehicle's speed exceeds 60 km/h for at least continuous 20 seconds during a school zone approach, then the vehicle must reduce speed to below 30 km/h within the next 10 seconds.",non-nested
"always[0,5](x1 > 10) <-> not eventually[2,7](x2 > 3)","The robot's sensor signal x1 remains consistently above 10 for the duration [0,5], if and only if the error signal x2 does not exceed 3 anytime between [2,7].",non-nested
"always[0,10](obstacle_distance < 50) -> eventually[10,15](speed < 20)","If the autonomous vehicle detects an obstacle within a 50-meter range continuously for 10 seconds, it must decelerate to less than 20 km/h within the next 5 seconds.",non-nested
"eventually[0,30](always[0,10](proximity_sensor < 2)) -> eventually[0,5](braking_system == activated)","Whenever the autonomous vehicle's proximity sensor detects an object closer than 2 meters for more than 10 seconds during a 30-second window, it must guarantee that the braking system will be activated within the next 5 seconds.",nested
"always[0,200]((a_1 <= 3) -> (v_1 <= 10))","Every moment within 200 seconds, the velocity v_1 is expected to be less than or equal to 10 units, unless at any time within this duration, the acceleration a_1 exceeds 3 units.",non-nested
"always[5,15](v1 > 10) -> eventually[10,20](p1 < 2)","Whenever the voltage v1 exceeds 10 volts continuously between 5 to 15 seconds, it implies that the pressure p1 will drop below 2 psi at least once between 10 to 20 seconds.",non-nested
"always[0,10](d_ped < 2) -> eventually[0,15](v < 5)","If the autonomous vehicle detects a pedestrian closer than 2 meters for at least 10 continuous seconds, it must reduce its speed to less than 5 km/h within the next 15 seconds.",non-nested
"always[10,20](x_3 < -2) and eventually[15,25](x_4 > 10)","Signal x3 remains consistently below -2 from time 10 to 20, and simultaneously, signal x4 must exceed 10 at least once between time 15 and 25.",non-nested
"always(eventually[0,60](always[0,10](v_1 > 30)) -> always[0,30](a_1 <= 15))","Every time the velocity v_1 exceeds 30 m/s for a duration of 10 seconds within any 60-second window, the acceleration a_1 must not exceed 15 m/s² at any point during the following 30 seconds.",nested
"always[0,60](v1 > 10) -> eventually[60,90](i1 > 15)","Whenever the voltage v1 exceeds 10 volts continuously for at least 20 seconds within the first minute, it must lead to the current i1 exceeding 15 mA within the subsequent 30 seconds.",non-nested
always(x_dist >= 5),The autonomous vehicle should continuously monitor its proximity to other vehicles and maintain a distance of at least 5 meters from any vehicle for the duration of the trip.,non-nested
"eventually[0,5](x_3 > 20) -> always[0,15](x_4 >= 15)","If the level of x3 exceeds 20 anytime within the first 5 minutes, then continuously for at least 15 minutes, the level of x4 should not drop below 15.",non-nested
"always[0,10](v1 <= 60)",The speed of the autonomous vehicle v1 must not exceed 60 km/h for the duration of travel through a school zone lasting 10 minutes.,non-nested
"always[500,1000]((x <= 50) and ((x < 10) -> eventually[0,100](always[0,30](x > 20))))","Within the time range from 500 to 1000 time units, the signal x should not exceed 50. Furthermore, if signal x drops below 10, it must rise above 20 within the next 100 time units and maintain above 20 for at least 30 time units afterwards.",non-nested
"always[0,5](x_1 < 2) -> eventually[4,7](x_2 > 8)",The robot's proximity sensor signal x1 remaining under the value 2 from time 0 to time 5 implies that its motion control signal x2 will exceed 8 at least once between time 4 and 7.,non-nested
"always[100,300](v_3 > 20 or (v_3 < 15 -> eventually[0,50](always[0,10](v_3 > 20))))","The value of signal v_3 remains consistently above 20 for the duration between 100 and 300 time units, unless it briefly dips below 15, in which case it must recover back above 20 within the next 50 time units and maintain for 10 consecutive time units.",nested
"always((obstacle_distance < 10) -> eventually[0,5](speed < 10))","Whenever the autonomous vehicle detects an obstacle within 10 meters, it should reduce its speed to less than 10 km/h within the following 5 seconds.",non-nested
"always[0,120](p_1 > 80) -> (eventually[0,100](v_1 < 15) or eventually[0,100](p_2 > 50))","If the pressure p1 exceeds 80 units continuously for the first 120 seconds, then either the volume v1 will drop below 15 units or the pressure p2 will exceed 50 units at least once within the next 100 seconds.",non-nested
"always[0,10](distance_front < 5) -> (speed < 20) until (distance_front > 10)","Whenever the distance to the vehicle ahead is less than 5 meters for at least a continuous period of 10 seconds, the autonomous vehicle must reduce its speed to less than 20 km/h until the distance increases above 10 meters.",non-nested
"always[0,600]((x_1 < 2) -> eventually[0,2](x_2 > 0.5))","Within the first 10 minutes, if the radar sensor (signal x_1) detects an object closer than 2 meters, the autonomous vehicle must activate the emergency brake (signal x_2) within 2 seconds.",non-nested
"eventually[0,10](v > 10) and always[10,30](v > 10)",The signal v must rise above 10 within the first 10 seconds and maintain above 10 until 30 seconds have elapsed.,non-nested
"eventually[0,60](pedestrian_on_crosswalk == true) -> always[0,10](vehicle_speed < 10)","If the autonomous vehicle senses a pedestrian on a crosswalk within the next 60 seconds, it must reduce its speed to less than 10 km/h until it has fully passed the crosswalk, which should take no more than 10 seconds.",non-nested
"always[2,5](x1 > 10) and always[2,5](x3 >= -2)","The sensor reading x1 must consistently exceed a value of 10 during the period from 2 to 5 seconds and simultaneously, the sensor reading x3 must never drop below -2 during the same period.",non-nested
"always[0,500]((z > 10) -> eventually[0,50] (always[0,30] (z < 2)))","In a robotic context, within the first 500 time units, if sensor z detects a value exceeding 10, it must drop back below 2 within a period of 50 time units and not exceed 2 again for at least 30 time units.",non-nested
"always(x_speed > 60 -> eventually[0,10](x_proximity_alert == 1))","Whenever the autonomous vehicle's speed exceeds 60 km/h, the proximity alert for nearby vehicles must be triggered within the next 10 seconds to prevent collisions.",non-nested
"always[0,10](speed_x1 < 25)",The speed of vehicle x1 should remain below 25 km/h continuously during the first 10 minutes after starting to ensure gentle acceleration.,non-nested
"always[0,600](v > 60) -> eventually[0,900](v < 40)","If the autonomous vehicle's speed exceeds 60 km/h for more than 10 minutes, then it must reduce speed to below 40 km/h within the next 15 minutes.",non-nested
"always[0,3](proximity_sensor < 1) -> eventually[0,5](speed < 10)","If the autonomous vehicle's proximity sensor detects an object closer than 1 meter continuously for over 3 seconds, the vehicle must reduce speed to less than 10 km/h within the next 5 seconds.",non-nested
"always[0,200](x1 < 0.5)",Signal x1 must always be less than 0.5 during the initial 200 time units.,non-nested
"always[0,3](temperature > 30) and eventually[1,2](moisture < 20) -> eventually[0,4](cooling_system == 1)","If the temperature consistently exceeds 30 degrees between hours 0 and 3, and if at any point between hours 1 and 2 the moisture drops below 20%, then the cooling system must be turned on at least once between hours 0 and 4.",non-nested
"always[0,7](x_1 < -10) -> eventually[7,15](y_1 > 100)","Whenever the temperature (x_1) remains below -10 degree Celsius during the period [0,7], then immediately after this period, we expect that the pressure (y_1) will start to rise above 100 Pascal within the next 3 to 8 seconds.",non-nested
"always[0,10](v > 80) -> eventually[0,30](warning > 0)","If the autonomous vehicle's speed remains over 80 km/h for more than 10 seconds when in a highway zone, it should trigger a warning signal within the next 30 seconds.",non-nested
(distance < 10 and t>5) -> eventually(speed < max_speed),The autonomous vehicle should slow down if the distance to the vehicle in front is less than 10 meters for more than 5 seconds.,non-nested
"eventually[10,20](x_3 < -2) and always[15,25](x_4 > 3)","The signal x3 is less than -2 for at least one instance between 10 and 20 seconds, and simultaneously, the signal x4 remains greater than 3 throughout the interval [15,25].",non-nested
"always(p1 > 100 -> always[0,60](p1 >= 80))","Every time pressure p1 exceeds 100 psi, it must not drop below 80 psi within the subsequent 60 seconds.",nested
"always[0,60](p_1 < 30) and eventually[50,100](f_2 > 20)","The pressure p1 stays below 30 units continuously from time 0 to 60, and the flow rate f2 exceeds 20 units at least once during time 50 to 100.",non-nested
"always[0,20](p_1 > 50 and v_1 < 10) -> always[0,120](t_1 <= 100)","In an automated robot system, if the pressure sensor p1 exceeds 50 units continuously for at least 20 seconds, and at the same time, the vibration sensor v1 maintains a value less than 10 units, then for the subsequent 120 seconds, the oil temperature sensor t1 should not exceed 100 units.",non-nested
"always[0,50](p1 < 20) -> eventually[0,60](h1 > 70)","If the pressure p1 remains below 20 units continuously from now until 50 seconds, then it is necessary that humidity h1 will exceed 70% within the next 60 seconds.",non-nested
"always[0,600](speed > 60) -> always[0,600](distance_to_next_vehicle > 20)","If the autonomous vehicle's speed remains above 60 km/h continuously from 0 to 10 minutes, it must ensure that the distance to the vehicle ahead is more than 20 meters for the same duration.",non-nested
"always[0,5](x_3 < 8) -> eventually[6,10](x_4 > 10)","Whenever x3 remains below 8 throughout the interval [0,5], it implies that x4 must exceed 10 at least once between [6,10].",non-nested
"always[0,20](p > 5 and T <= 100) -> eventually[10,30](L >= 3)","In a robotic monitoring system, if the pressure signal p[t] remains above 5 units continuously for the first 20 seconds, and simultaneously the temperature signal T[t] does not exceed 100 degrees during this period, then within the next 10 to 30 seconds, the lubrication level L[t] must reach at least 3 units.",non-nested
"eventually[10,15](x_3<0.2) -> always[0,5](x_3<0.3)","If signal x_3 decreases below 0.2 between 10 to 15 time units, it must consistently remain below 0.3 for at least 5 subsequent time units.",non-nested
"always[0,1000](p > 5.0 and (q < -2.0 -> eventually[30,50](q > 3.0)))","Within the first 1000 time units, signal p must consistently exceed 5.0; whenever signal q drops below -2.0, it must rise above 3.0 within the next 30 to 50 time units.",nested
"always[0,50](v1 > 60) -> eventually[10,30](a1 < 2)","Every time the velocity v1 exceeds 60 mph within the first 50 seconds, subsequently the acceleration a1 must steadily reduce to less than 2 m/s² within 10 to 30 seconds.",non-nested
"always[5,10](x_3 == 10) <-> eventually[8,12](x_4 < -5)","The signal x_3 remains constant at 10 throughout the interval [5, 10] if and only if the signal x_4 dips below -5 at any point between [8, 12].",non-nested
"eventually[0,10](x1 < 2) and eventually[0,10](x2 > 8) -> always[0,20](x3 <= 15)","If the robot's proximity sensor x1 drops below 2 units within the first 10 seconds, and concurrently x2 exceeds 8 units at any point during the same interval, then the system should ensure that for the following 20 seconds, x3 must not exceed 15 units.",non-nested
"always[0,1440](x_1 >= -10 and x_1 <= 50)",The temperature sensor reading (x_1[t]) must remain within the safe operating range of -10 to 50 degrees Celsius throughout a 24-hour cycle in order to guarantee that the autonomous system does not overheat.,non-nested
"eventually[0,60](x_pedestrian == 1 and always[0,5](x_speed == 0))",The autonomous vehicle must detect a pedestrian on the crosswalk and come to a complete stop for at least 5 seconds within the next minute.,nested
"eventually[0,60](x > 25) and always[60,90](((20 <= x) and (x <= 30))) -> always[90,190](y >= 15)","If the level x exceeds 25 units within the next 60 seconds, and then maintains between 20 and 30 units for the subsequent 30 seconds, the level y will not drop below 15 units at any point in the following 100 seconds.",non-nested
"always[10,20](x3 > 10) -> eventually[15,25](x4 < -5)","Whenever signal x3 exceeds 10 between the intervals [10,20], it is necessary that signal x4 drops below -5 at least once in the intervals [15,25].",non-nested
"always[8,17](speed <= 60)",The speed of the autonomous vehicle must remain below 60 km/h when entering a school zone during the hours of 8AM to 5PM.,non-nested
"always[0,30](p1 > 80) and eventually[0,50](f1 < 10) -> always[0,90](t1 <= 100)","If the pressure p1 is continuously above 80 units from 0 to 30 seconds and the flow f1 drops below 10 units within the next 50 seconds, then the temperature t1 must not exceed 100 units at any time during the first 90 seconds.",non-nested
"eventually[300,600](x_speed > 100) -> always[600,900](x_speed < 50)","If the car's speed reaches over 100 km/h between the 5th and 10th minute of driving, it must subsequently maintain a speed below 50 km/h within the next 5 minutes.",non-nested
"always[2,6](x3 > 10) -> (eventually[5,9](x4 > 15) or always[3,8](x5 < -5))","Whenever the signal x3 remains above 10 during the interval [2,6], it should imply that signal x4 will exceed 15 at some point between [5,9], or x5 has to stay below -5 from [3,8].",non-nested
"always[4,8](x_2 < 5) -> eventually[2,6](x_4 > 3)","Whenever the signal x_2 stays below the value 5 between 4 and 8 seconds, immediate subsequent behavior must have signal x_4 exceeding 3 in no less than 2 seconds but in no more than 6 seconds.",non-nested
"always[0,100](x_1>0.5) and always[0,100](x_3<=0.9) -> eventually[150,200](x_2>0.6)","If the value of signal x_1 remains above 0.5 for the entire duration from time 0 to 100 and simultaneously signal x_3 never exceeds 0.9 within the same interval, then signal x_2 must exceed 0.6 at least once between time 150 and 200.",non-nested
"always[2,5](x_3 < 2) or eventually[6,10](x_4 > 3)","The signal x3 remains below 2 throughout the interval [2,5] or the signal x4 exceeds 3 at any time between [6,10].",non-nested
