STL,English,Complexity
"always[0,20](p1 <= 120) and always[20,40](p1 < 80)","The pressure signal p1 must not exceed 120 within the first 20 seconds, and then from 20 to 40 seconds, it should always stay below 80.",non-nested
"always[100,600]((x > 10) -> eventually[0,50](always[0,30](x < 2)))","From time instances 100 to 600, if signal x ever exceeds 10, it should drop below 2 within the next 50 time units and maintain a value below 2 for at least 30 consecutive time units.",non-nested
"always[0,300](hr > 140) -> always[300,900](bp <= 180)","If the heart rate (hr) exceeds 140 bpm continuously from 0 to 5 minutes, then the blood pressure (bp) must not exceed 180 mmHg at any point from 5 to 15 minutes.",non-nested
"always[0,5](x_3 < 2) and eventually[5,7](x_3 > 10)",The value of signal x_3 remains below 2 for the first 5 time units and then surpasses 10 before time unit 7.,non-nested
"always[2,10](p_1 > 200) -> always[4,12](h_1 <= 50)","Whenever the pressure p_1 remains above 200 units throughout the interval [2,10], then concurrent humidity h_1 must not exceed 50 units in the interval [4,12].",non-nested
"always[50,150](always[0,10](p_1 < 20) -> eventually[0,30](f_1 > 100))","If the pressure p1 stays below 20 units for at least 10 seconds between 50 to 150 time units, then the flow rate f1 must exceed 100 units within the next 30 seconds.",nested
"always[2,6](t1 > 30) -> eventually[4,8](h1 < 40)","The temperature signal t1 exceeds 30 degrees throughout the interval [2,6], which implies that humidity signal h1 will drop below 40 at least once between the time range [4,8].",non-nested
"always[2,6](z_3 < 10) -> (eventually[3,8](z_4 > 15) and always[4,9](z_5 >= -5))","Whenever signal z_3 remains under 10 during the interval [2,6], it must also be true that both signal z_4 will exceed 15 at least once in the interval [3,8] and z_5 will not fall below -5 between [4,9].",non-nested
"always[0,15](abs(x) <= 5) and (eventually[16,30](abs(x) > 5) -> eventually[0,10](always[0,5](abs(x) <= 3)))","Signal x remains within 5 units from time 0 to 15, and if it exceeds this range at any time between 16 and 30, it should return within 3 units within the next 10 seconds and remain so for at least 5 seconds.",non-nested
"always[200,400]((y_1>2.0)->eventually[10,15](y_2<1.0))","From 200 to 400 seconds, whenever signal y_1 exceeds 2.0, there should be an instance where signal y_2 falls below 1.0 within the next 10 to 15 seconds.",non-nested
"always[0,100](x_2 >= -0.5)",Signal x_2 never falls below -0.5 during the first 100 time units.,non-nested
"always[0,5](x_3 >= 10) -> eventually[5,10](x_4 > 15)","The signal x3 remains at least 10 units high throughout the interval [0,5], which guarantees that signal x4 will rise above 15 during the interval [5,10].",non-nested
"always[0,20](abs(p1 - threshold) <= 10) -> eventually[0,60](f1 > 100)","Whenever the pressure p1 remains within 10 units above or below the set threshold for at least 20 seconds, then fluid flow rate f1 will exceed 100 liters per minute at some point within the next 60 seconds.",non-nested
"always(p1 > 80 -> eventually[30,60] (always[0,10](p1 < 50)))","Whenever pressure p1 exceeds 80 units, it must drop below 50 units within the next 30 to 60 seconds and stay below that threshold for at least 10 consecutive seconds.",nested
"always[5,15](temp > 50) -> always[5,15](pressure <= 200)","Whenever the temperature (temp[t]) remains above 50 degrees between 5 to 15 seconds, the system pressure (pressure[t]) should not exceed 200 psi during the same interval.",non-nested
"always[0,30](v1 < 10) -> eventually[30,60](p1 > 100)","As long as the velocity v1 remains below 10 m/s within the first 30 seconds, the pressure p1 must eventually exceed 100 psi between 30 and 60 seconds.",non-nested
"always[0,100](v > 10) -> always[50,200](((5 < v) and (v < 15)))","Whenever signal v exceeds 10 during the first 100 time units, it must continue to exceed 5 but not 15 for the next 50 to 200 time units.",non-nested
"always[0,100](x_1>0.5 -> eventually[1,2](x_2>0.5))","Whenever signal x_1 exceeds 0.5 during the first 100 time units, it should be followed by signal x_2 exceeding 0.5 within 1 to 2 time units afterwards.",nested
"always[0,200](always[0,50](v > 10) -> always[0,100](w <= 5))","Whenever signal v remains above the threshold of 10 units for at least 50 consecutive time units between 0 and 200 units, ensure within the next 100 units that signal w does not exceed 5 units for the whole duration.",nested
"always[0,60](P1 > 200) and eventually[0,60](always[0,15](P2 < 50)) -> always[60,180](P3 <= 180)","If pressure P1 exceeds 200 units continuously from time 0 to 60 seconds and at least once during the same interval, the pressure P2 is below 50 units for 15 consecutive seconds, then within the next 120 seconds, the pressure P3 must not exceed 180 units.",nested
"always[0,2880](humidity > 75) and always[0,2880](wind_speed <= 3) -> always[0,2880](temperature > 25)","If the humidity level stays above 75% for 2 consecutive days but the wind speed never surpasses 3 m/s during this period, then it must be followed by at least 48 hours where the temperature remains consistently above 25 degrees Celsius.",non-nested
"always[0,5](x3 < 10) -> eventually[5,15](x4 > 20)","If signal x3 remains below 10 during the first 5 units of time, then signal x4 will exceed 20 at any time within the subsequent 10 units.",non-nested
"always[5,15](x_2 < -10) -> eventually[10,20](x_3 > 5)","Whenever the signal x_2 remains below -10 within the interval [5,15], then it is necessary that signal x_3 exceeds 5 sometime during the interval [10,20].",non-nested
"always[0,20](v < 30) -> eventually[0,20](a > 5)","Whenever the velocity v remains under 30 m/s for the entire duration from 0 to 20 seconds, the acceleration a should exceed 5 m/s² at least once within the same interval.",non-nested
"always[5,15](x_3 > 10) -> eventually[10,20](x_4 > 20)","The signal x3 remains steadily above 10 from time 5 to time 15, and this implies that signal x4 will exceed 20 at least once between time 10 and 20.",non-nested
"always[2,5](x3 > 10) -> (eventually[3,6](x4 > 15) or always[1,4](x5 < 3))","Whenever the signal x3 is above 10 during the period [2,5], it implies that either signal x4 will exceed 15 at some point between [3,6] or x5 will drop below 3 during the entire interval [1,4].",non-nested
"always[0,30](p_1 < 15) -> eventually[10,40](h_1 > 85)","Whenever the pressure p_1 remains consistently below 15 units during the first 30 seconds, it implies that the humidity h_1 will exceed 85% for at least some time between seconds 10 and 40.",non-nested
"always[0,30](p1 > 40) -> eventually[0,60](always[0,10](p2 < 20))","The pressure p1 must exceed 40 psi continuously from 0 to 30 seconds before within the next 60 seconds, the pressure p2 consistently remains below 20 psi for at least 10 consecutive seconds.",nested
"always[2,8](t>100)",Temperature signal t remains above 100 units continuously from 2 to 8 hours.,non-nested
"always[10,20](y_1 > 20) -> eventually[0,5](y_3 > 15)","Whenever signal y_1 remains above 20 during the interval [10, 20], it leads to signal y_3 rising above 15 at least once in the following [0, 5] seconds.",non-nested
"always[2,7](x1 > 3) -> (eventually[4,9](x3 < -5) and always[6,10](x2 > 4))","Whenever x1 remains above 3 from time interval [2,7], it must lead to x3 dropping below -5 at least once between [4,9], and subsequently, x2 should continuously exceed 4 from [6,10].",non-nested
"always[0,50]((x_1 + x_3 > 1.5) -> always[5,15](x_4 <= 2))","For the entire duration from 0 to 50 time units, if the sum of signals x_1 and x_3 exceeds 1.5, then it is always necessary for signal x_4 to be less than or equal to 2 between 5 and 15 time units later.",non-nested
"always[50,100](x3 <= 0.3) -> always[10,20](x4 > 0.2)","Whenever signal x3 does not exceed 0.3 between 50 and 100 time units, signal x4 must consistently exceed 0.2 for the subsequent 10 to 20 time units.",non-nested
"always[10,20](speed > 50) and always[5,15](pressure < 30) -> eventually[0,30](temperature > 100)","Whenever speed stays above 50 km/h between 10 and 20 minutes, and pressure remains under 30 psi between 5 and 15 minutes, then it is guaranteed that temperature will exceed 100 degrees Celsius within the following 30 minutes.",non-nested
"always[0,50](y_2 <= 3)",The signal y_2 does not exceed 3 at any point during the first 50 seconds.,non-nested
"always[10,50](x3 < 0.3 and x4 < 0.4)","Within the interval [10,50], both signals x3 and x4 should remain below the thresholds 0.3 and 0.4 respectively.",non-nested
"always[0,20](p > 50) and eventually[0,5](v > 30) -> always[0,60](p >= 45)","If the pressure p maintains a value above 50 units for at least 20 continuous seconds, and during the same period, vibration v exceeds 30 units for any 5 seconds, then pressure must not drop below 45 units within the next 60 seconds.",non-nested
"eventually[2,6](x_3 < 2) <-> not (eventually[7,9](x_5 > 3))","The signal x3 remains below 2 for at least once in the interval [2,6] precisely when the signal x5 does not exceed 3 at any time between 7 and 9.",non-nested
"eventually(x4 > 20) -> eventually[5,15](x3 > 10)",The signal x3 must consistently rise above the value 10 within the first 5 to 15 seconds after the signal x4 exceeds 20.,non-nested
"always[2,5](x1 < 8) -> eventually[6,9](x1 > 10)","If signal x1 remains below 8 during the interval [2,5], then it must exceed 10 at least once in the interval [6,9].",non-nested
"eventually[0,30](always[0,5](s_1 > 10))",The value of signal s_1 surpasses 10 continuously for at least 5 seconds within the next 30 seconds.,nested
"always[0,10](((1 <= z) and (z <= 2))) and eventually[10,15](z > 3)","The signal z should remain within the range [1, 2] during the first 10 seconds and then exceed 3 within the following 5 seconds.",non-nested
"always[5,10](x_3 == 10) <-> eventually[8,12](x_4 < -5)","The signal x_3 remains constant at 10 throughout the interval [5, 10] if and only if the signal x_4 dips below -5 at any point between [8, 12].",non-nested
"always[100,600](x > 10 -> always[50,150](x > 5))","Between 100 and 600 time units, if signal x crosses above 10, it must remain above 5 for the subsequent 50 to 150 time units.",nested
"always[0,20](v1 > 10) -> always[10,25](v2 <= 15)","If signal v1 remains greater than 10 from t=0 to t=20, then signal v2 must not exceed 15 at any point between t=10 and t=25.",non-nested
"always[0,100](((2 <= v) and (v <= 10))) -> (always[100,150](v <= 20) and eventually[120,170](v > 30))","Whenever signal v remains within the range [2, 10] during the first 100 time units, it should subsequently never exceed 20 for at least 50 time units followed by a spike above 30 within the next 20 to 70 time units.",non-nested
"always[0,20](y_3 >= 5) and eventually[5,15](x_3 > 10)","The signal y_3 remains at or above 5 from the start until time unit 20, and during this period, there must also occur an instance when x_3 exceeds 10 between time units 5 and 15.",non-nested
"(x1 < 0.3 or x3 > 0.5) until[2,4] (x2 > 0.8)",The system must ensure that signal x1 remains below 0.3 or signal x3 exceeds 0.5 until signal x2 becomes greater than 0.8 within the time frame from 2 to 4 seconds.,non-nested
"always[2,6](x_1 > 8) -> not eventually[3,5](x_3 > 7)","Whenever the signal x1 exceeds 8 between 2 and 6 seconds, it must imply that signal x3 does not rise above 7 at any moment from 3 to 5 seconds.",non-nested
"always[0,5](x_3 < 20) -> eventually[5,10](x_4 > 30)",The signal x_3 consistently drops below value 20 during the initial 5 seconds implies that signal x_4 will exceed 30 at least once between 5 and 10 seconds.,non-nested
"always[0,30](p1 > 100) -> (always[0,40](t3 <= 80) and always[0,40](h2 >= 20))","If the pressure p1 exceeds 100 units from time 0 to 30, then the following should occur: the temperature t3 should not exceed 80 units continuously from time 0 to 40, and concurrently, the humidity h2 should never drop below 20% within the same time frame.",non-nested
"always[0,10](x_3>0.8) -> eventually[10,15](x_4>0.9)","Whenever signal x_3 stays above 0.8 for at least 10 seconds, signal x_4 must exceed 0.9 within the following 5 seconds.",non-nested
"always[0,10](v1 > 70) -> eventually[15,25](a1 > 10)","If the velocity v1 remains above 70 units for the entire duration of the first 10 minutes, then the acceleration a1 must exceed 10 units at some point between 15 and 25 minutes.",non-nested
"always[2,6](x1 < -2) -> eventually[4,8](x3 > 7)","Whenever signal x1 is below -2 consistently throughout the interval [2,6], it implies that signal x3 must exceed 7 at least once between [4,8].",non-nested
"always[0,15](s_1 > 30 and a_1 < 5) -> always[15,25](s_2 > 40)","Whenever the speed s_1 remains continuously above 30 m/s during the first 15 seconds and the acceleration a_1 simultaneously stays below 5 m/s^2, the subsequent 10 seconds should always see the speed s_2 exceeding 40 m/s.",non-nested
"always[0,10](p_1 < 30) -> eventually[15,25](v_2 > 50)","Whenever the pressure p1 remains below 30 units during the entire period from 0 to 10 seconds, it must be followed by the voltage v2 exceeding 50 units at any point between 15 to 25 seconds.",non-nested
"always[0,100]((x_1 > 0.5 and x_2 < 0.3) -> eventually[10,20](x_3 > 0.9))","Whenever signal x_1 rises above 0.5 during the first 100 time units and signal x_2 is below 0.3, then within 10-20 time units afterwards, signal x_3 must exceed 0.9.",non-nested
"always[0,6](x_3 < 2) -> eventually[3,9](x_4 > 3)","Whenever the signal x3 remains under 2 during the interval [0,6], it leads to the signal x4 exceeding 3 at least once between [3,9].",non-nested
"always((x_1 + x_3 > 1.2) -> eventually[2,4](x_5 < 0.3))","Whenever the sum of signals x_1 and x_3 exceeds 1.2, signal x_5 should be below 0.3 within the next 2 to 4 time units.",non-nested
"always[0,60](p1 > 30) and eventually[60,60](p2 > 45)","The pressure p1 exceeds 30 units for the entire duration of the first 60 seconds, and then the pressure p2 immediately increases to more than 45 units.",non-nested
"always[0,100](x_3 < 0.2) -> eventually[50,150](x_4 > 1.0)","Whenever the signal x_3 remains below 0.2 during the initial 100 time units, signal x_4 must exceed 1.0 at least once between 50 and 150 time units.",non-nested
"always[0,100](h_1 > 60 -> always[20,40](p_1 <= 100))","Whenever the humidity h_1 exceeds 60% during the initial 100 seconds, it should hold that within the subsequent 20 to 40 seconds, the pressure p_1 will not exceed 100 kPa.",nested
"always[0,20](p1 > 50 and p2 <= 30) -> eventually[0,60](p3 > 70)","If the pressure p1 remains above 50 units continuously for 20 seconds, and during the same time, pressure p2 does not exceed 30 units, then pressure p3 will exceed 70 units sometime within the next 60 seconds.",non-nested
"always[0,10](p > 80) -> always[0,20](t <= 100)","If the pressure p exceeds 80 for more than 10 consecutive seconds, then the temperature t must not exceed 100 at any point during the next 20 seconds.",non-nested
"always[0,5](x_3 <= 0.5) and always[5,10](x_4 < 0.3)","Signal x_3 does not exceed 0.5 during the first 5 minutes, and signal x_4 remains below 0.3 from minutes 5 to 10.",non-nested
"eventually[0,60](always[0,5](x_1 > 30))",Temperature signal x_1 exceeds 30 degrees for at least 5 seconds within the first minute.,nested
"always[0,5](x_1 > 30) -> always[0,5](x_2 > 20)","The temperature signal x_1 remains above 30 degrees only if every point in the interval [0,5] sees the pressure signal x_2 above 20 units.",non-nested
"always[2,5](x_1 < 10) -> eventually[6,10](x_3 > 15)","Whenever the signal x_1 is less than 10 during the entire interval [2, 5], it implies that the signal x_3 must exceed 15 at least once between the time points 6 and 10.",non-nested
"always[1,5](x_3 < 2) and eventually[2,6](x_4 > 3)","Signal x3 remains below 2 during the entire interval [1,5], and at some point between [2,6], signal x4 exceeds 3.",non-nested
"always[2,8](v_3 > 10) -> (eventually[3,9](v_1 > 15) or eventually[4,10](v_2 < -5))","Whenever the signal v_3 remains above 10 throughout the interval [2,8], it should imply that either signal v_1 will exceed 15 at some point within [3,9] or signal v_2 will drop below -5 within the interval [4,10].",non-nested
"always[0,24](x_3 > 22) -> always[0,24](eventually[0,1](y_3 >= 30))","When the temperature x_3 is consistently above 22°C for the entire day (0-24 hours), the humidity y_3 must not fall below 30% for more than an hour at any given time within the same period.",nested
"always[50,150](x_1 > 10 -> always[10,20](x_3 <= 5))","Every time signal x_1 exceeds the value 10 within the interval [50,150], signal x_3 must not exceed 5 at any point in the following [10,20] time units.",nested
"eventually[0,10](v > 80) and eventually[10,30](v < 50) -> always[30,60](v <= 70)","If the speed v exceeds 80 km/h within the first 10 minutes, and then drops below 50 km/h in the next 20 minutes, it must not exceed 70 km/h for the following 30 minutes.",non-nested
"eventually[15,15](always[0,10](p > 100))",Pressure p must be maintained above 100 psi for at least 10 consecutive minutes starting 15 minutes from now.,nested
"eventually[5,15](x1 > 10) and always[5,15](x2 <= 15)","The value of signal x1 exceeds 10 at least once between 5 and 15 seconds, while the value of signal x2 does not exceed 15 during the same interval.",non-nested
"always[0,20](p1 > 50) and eventually[0,5](h1 < 30) -> always[0,40](t1 <= 80)","Whenever the pressure p1 exceeds 50 units continuously for at least 20 seconds, and during this period, the humidity h1 is less than 30% for at least 5 consecutive seconds, then subsequently, the temperature t1 must not exceed 80 degrees for the next 40 seconds.",non-nested
"always[2,6](x_3 > 7) -> eventually[3,7](x_4 > 10)","Whenever signal x3 remains continuously above 7 during the interval [2,6], it immediately leads to signal x4 rising above 10 at least once between [3,7].",non-nested
"always[0,10](p_1 > 100 and t_1 < 50) -> eventually[15,25](v_1 > 30)","If the pressure p1 exceeds 100 units continuously from time 0 to 10 and simultaneously the temperature t1 is below 50 degrees, then voltage v1 should exceed 30 units at some point between time 15 and 25.",non-nested
"(always[5,15](p > 100) and always[0,10](h < 30)) -> always[20,30](v < 50)","If the pressure p remains steadily above 100 units from time 5 to 15 seconds and simultaneously, humidity h is under 30% during the first 10 seconds, then the system should ensure vibration v is kept below 50 units from 20 to 30 seconds.",non-nested
"always[0,200](always[0,10](p_1>80) -> always[0,20](h_1<=50))","For any 50-second interval within the next 200 seconds, if the pressure p_1 exceeds 80 units continuously for at least 10 seconds, then humidity h_1 must not exceed 50% for the entirety of the following 20 seconds.",nested
"always[0,30](p_1 > 100) and eventually[0,10](v_1 < 50) -> always[15,25](t_1 <= 80)","Whenever the pressure p_1 exceeds 100 units between times 0 and 30, and simultaneously the volume v_1 is less than 50 units at any point from time 0 to 10, then the temperature t_1 must not exceed 80 units from time 15 to 25.",non-nested
"always[50,200]((v_1 > 20) -> always[10,20](p_1 >= 15))","Between the time periods of 50 to 200 units, whenever the velocity v_1 exceeds 20 m/s, the pressure p_1 must not drop below 15 Pa within the subsequent 10 to 20 time units.",non-nested
"always[2,6](x1 > 7) and eventually[3,8](x2 < -1)","The signal x1 remains consistently above 7 during the interval [2,6], and the signal x2 reaches below -1 at any moment within the interval [3,8].",non-nested
"always[0,60](p < 10)",The pressure p must be less than 10 units at all times during the first 60 seconds.,non-nested
"always(p1 > 120 -> always[0,5](p1 > 100))","Every time the pressure p1 becomes greater than 120 units, it remains above 100 units for at least the next 5 minutes.",nested
"always[50,200](x_2 < 0.5)",The signal x_2 remains below 0.5 continuously from time 50 to 200.,non-nested
"always[2,6](y3 < 10) -> not (eventually[3,5](z3 > 20))","Whenever signal y3 remains under 10 during the interval [2,6], it implies that signal z3 must not exceed 20 at any point in the interval [3,5].",non-nested
"always[2,10](p_1 < 25) and always[5,15](p_2 <= 30)","The pressure p1 must remain below 25 units steadily between time 2 and time 10, while concurrently the pressure p2 must never exceed 30 units within the interval [5,15].",non-nested
"always[0,10](x_3 > 30) -> (eventually[10,30](y_3 < 40) or eventually[5,15](z_3 > 750))","If the temperature x_3 stays above 30 degrees Celsius during the first 10 minutes, then either humidity y_3 must drop below 40% within the next 20 minutes, or the pressure z_3 should exceed 750 mmHg within 5 to 15 minutes.",non-nested
"always[0,15](sensor1 < -10) -> not (eventually[0,30](sensor2 > 100))","Whenever sensor1 remains below -10 degrees continuously for at least 15 minutes, sensor2 must not exceed 100 units within the next 30 minutes.",non-nested
"always[0,60](p_1 > 30) -> (eventually[50,70](f_1 < 10) -> always[100,150](t_1 > 50))","Whenever the pressure p1 is consistently above 30 psi within the first 60 seconds, and then the flow rate f1 drops below 10 units from seconds 50 to 70, it must lead to a scenario where from 100 to 150 seconds, the temperature t1 will not drop below 50 degrees.",non-nested
"always[10,20](x_3 < 0.5) -> always[10,20](x_4 < 0.8)","Whenever signal x_3 remains below 0.5 between 10 and 20 time units, then signal x_4 should also remain below 0.8 in the same time interval.",non-nested
"always[2,5](x_3 > 10) -> always[2,5](x_4 <= 15)","The signal x_3 is constantly above 10 over the entire duration from 2 to 5 seconds, which implies that signal x_4 will not exceed 15 at any time within the same interval.",non-nested
"eventually[0,100](p1 > 50 and always[0,20](h1 < 20)) -> always[0,80](p1 >= 40)","If initially over a span of 100 seconds, the pressure p1 reaches above 50 psi at any moment and simultaneously humidity h1 falls below 20% for at least 20 consecutive seconds, then subsequently, for the following 80 seconds, the pressure p1 must not drop below 40 psi.",nested
"eventually[0,60](p_1 > 100) and eventually[0,60](always[0,20](v_1 < 50)) -> always[60,90](v_1 <= 40)","If pressure p1 exceeds 100 units anytime within the first 60 seconds, and concurrently, vibration v1 remains less than 50 units for at least 20 seconds anytime within the same timeframe, then right afterwards, for the next 30 seconds, v1 must not exceed 40 units.",nested
"always[0,50](s_1 < 0.5) -> eventually[10,15](s_2 > 1.2)","If signal s_1 remains below 0.5 during the first 50 time units, then it must be followed by signal s_2 exceeding 1.2 within the subsequent 10 to 15 time units.",non-nested
"always[0,5](x_3 < 2) and eventually[6,10](x_4 > 3)",The signal x3 remains below 2 during the first 5 seconds and the signal x4 exceeds 3 during any time between seconds 6 and 10.,non-nested
"always[0,100]((x2<0.3) -> eventually[2,4](x1>0.5))","Whenever signal x2 falls below 0.3 within the first 100 time units, signal x1 must exceed 0.5 within the subsequent 2 to 4 time units.",non-nested
"always[0,10](x1 < 20) <-> eventually[5,15](x2 > 100)",The speed x1 should be less than 20 km/h for the entirety of the first ten seconds if and only if at least once the temperature x2 exceeds 100°C between 5 and 15 seconds.,non-nested
"eventually[5,15](x_1 + x_2 > 20)","The sum of signal x_1 and signal x_2 exceeds 20 at least once in the time interval [5, 15].",non-nested
