STL,English,Type
always ( pred1 and pred2 -> always [0:t1] (pred3) ),In case that the mode of pred1 and the value of signal pred2 then the pred3 then this condition shall keep consistently for each moment within the first t1 time units.,temporal_response
always ( not fall (pred1) -> always [t1:t2] (eventually (rise (pred2))) ),While the transition action that the value of signal pred1 is not observed then for each moment during the next t1 to t2 time units the scenario that pred2 finally gets detected at a certain time instant in the future before the simulation ends.,stabilization_recurrence
always ( rise (pred1) -> eventually [0:t1] (always [0:t2] (pred2)) ),"It is always the case that everytime when the event that the pred1 is detected, then in response there will be a certain time point within t1 time units ultimately, after which pred2 then this condition has to last consecutively for every time instant within the subsequent t2 time units.",stabilization_recurrence
always ( (pred1 and pred2) or pred3 -> eventually [t1:t2] (always (pred4)) ),"It is always the case that in case that the pred1 and pred2 or the value of signal pred3 then the following condition holds: there shall be a time within the first t1 to t2 time units finally, at which the value of pred4 in the future till the simulation ends.",stabilization_recurrence
always [0:t1] (pred1 or pred2),"For each time instant within t1 time units, pred1 or the value of pred2",invariance_reachability
always ( rise (pred1 and pred2) -> eventually [0:t1] (rise (pred3)) ),"In the case the event that the value of signal pred1 and pred2 is observed, then the following condition is true: there is a time in the next t1 time units, at which the transition action that the value of signal pred3 needs to finally take place.",temporal_response
always ( (pred1) since [t1:t2] (not (pred2)) -> always (pred3) ),On condition that the value of signal pred1 and then uninterruptedly this scenario sustained since the value of pred2 which was detected at a certain time instant within the last t1 to t2 time units once then the following condition holds: in the future before the simulation ends without interruption the pred3,temporal_response
always [val1:t1] (pred1 and pred2),"For each time instant within t1 time units, pred1 and the state of signal pred2 consistently.",invariance_reachability
eventually [0:t1] (not (pred1) and fall (pred2)),"There is a time within the first t1 time units, at which the value of signal pred1 and the event that the value of pred2 needs to get detected eventually.",invariance_reachability
always ( fall (pred1 and pred2) -> not ((pred3) since [t1:t2] (pred4)) ),It is always the case that everytime when the pred1 and pred2 then in response the condition that consistently the state of pred3 since once the value of pred4 at sometime within the past t1 to t2 time units will not be true.,temporal_response
always ( rise (pred1) -> (pred2) until [t1:t2] (pred3) ),"When the scenario that the value of pred1 is detected, then the following condition holds: the pred2 and has to stay at this value consecutively until the pred3 ultimately at a time during the following t1 to t2 time units.",temporal_response
always ( not (pred1) or not (pred2) -> pred3 and pred4 ),While the value of signal pred1 or the value of pred2 then all of the following conditions are true: immediately the value of signal pred3 and the mode of signal pred4 in no time.,immediate_response
always ( rise (pred1 and pred2) -> always [0:t1] (pred3 and pred4) ),"It is always the case that if the scenario that the value of pred1 and pred2 takes place, then all of the following conditions are true: the value of signal pred3 and pred4 and this condition will sustain for every time point within the next t1 time units.",temporal_response
always ( pred1 and pred2 -> pred3 or not rise (pred4) ),Everytime when pred1 and the pred2 then the following condition is true: at once the value of signal pred3 or at the same time instant the event that the value of signal pred4 never occurs.,immediate_response
always ( once (pred1) -> eventually [t1:t2] (pred2) ),"Globally, in case that there existed a time in the past starting from the beginning of the execution once, at which the value of pred1 then in response pred2 eventually at a certain moment in the first t1 to t2 time units.",temporal_response
always (pred1),In the future before the simulation ends the value of signal pred1 consistently.,invariance_reachability
always ( rise (pred1) -> not (always [t1:t2] (pred2)) ),"Globally, everytime when the transition action that the value of pred1 happens then for every time instant in the subsequent t1 to t2 time units, the mode of pred2 continuously.",temporal_response
always ( rise (pred1) and pred2 -> pred3 and pred4 ),It is always the case that everytime when the value of signal pred1 and the pred2 then all of the following conditions hold: promptly the value of pred3 and pred4,immediate_response
eventually (pred1 and rise (pred2)),"At sometime in the future, the mode of pred1 eventually, and the event that the value of signal pred2 will occur ultimately.",invariance_reachability
always [val1:t1] (pred1 and pred2),Continuously the value of signal pred1 and pred2 for every time point during the first t1 time units.,invariance_reachability
always ( once [0:t1] (pred1) -> not (always [0:t2] (pred2)) ),"In case that at a certain time point during the last t1 time units, the value of signal pred1 then in response the condition that uninterruptedly the mode of signal pred2 for every moment in the first t2 time units is not true.",temporal_response
always ( pred1 and pred2 -> always [0:t1] (not (pred3)) ),"While the pred1 and pred2 then all of the following conditions are true: for each time point within the following t1 time units, the mode of signal pred3",temporal_response
always ( rise (pred1) -> pred2 ),"Globally, when the mode of pred1 then the following condition holds: at the same time point the value of signal pred2",immediate_response
always ( not (once [t1:t2] (pred1 and pred2)) -> eventually [0:t3] (always [0:t4] (pred3 and pred4)) ),"It is always the case that in case that the subsequent condition will not be true: once at sometime during the last t1 to t2 time units the value of signal pred1 and pred2 then in response at sometime within the following t3 time units, the value of pred3 and pred4 then uninterruptedly this condition shall last for each time instant during the following t4 time units.",stabilization_recurrence
always [0:t1] (pred1 and pred2),For every moment in the first t1 time units the pred1 and pred2,invariance_reachability
always ( fall (pred1) -> rise (pred2) ),"It is always the case that whenever the event that the pred1 gets detected, then all of the following conditions hold: the scenario that the value of signal pred2 will have to get observed at the same time point.",immediate_response
always (pred1),"In the future until the end of the simulation, the value of signal pred1",invariance_reachability
always ( always (pred1 and pred2) -> always [0:t1] (eventually [0:t2] (pred3)) ),"Globally, whenever the value of pred1 and pred2 and will stay like that consecutively in the future till the end of the simulation then all of the following conditions hold: for each time point in the first t1 time units, at a certain moment within the next t2 time units pred3 eventually.",stabilization_recurrence
always [t1:t2] (not (pred1) and not (pred2)),For every time point during the first t1 to t2 time units continuously the value of pred1 and consecutively the pred2,invariance_reachability
always ( pred1 or pred2 -> pred3 ),"Globally, if the value of signal pred1 or the value of pred2 then all of the following conditions hold: at once the state of signal pred3",immediate_response
eventually [0:t1] (pred1 and pred2),At a certain moment in the first t1 time units the pred1 ultimately and the value of pred2 ultimately.,invariance_reachability
always ( not fall (pred1) and pred2 -> (not (pred3)) since [0:t1] (fall (pred4 and pred5)) ),"When the scenario that the value of pred1 doesn't occur, and pred2 then in response at a certain moment within the past t1 time units once the transition action that pred4 and pred5 took place, after this continuously the mode of signal pred3",temporal_response
always ( pred1 -> rise (always (not (pred2))) ),In the case pred1 then in response the following condition has to shift from false to true: pred2 then consecutively this scenario will keep in the future till the end of the simulation.,temporal_response
always ( fall (pred1) -> (not (pred2)) until (rise (pred3 and pred4)) ),"It is always the case that if the scenario that the value of signal pred1 is detected then all of the following conditions hold: the scenario that pred3 and pred4 needs to happen eventually at a certain time point in the future before the execution ends, before this pred2",temporal_response
eventually [t1:t2] (pred1 or pred2),"At a certain time instant in the first t1 to t2 time units, eventually the value of signal pred1 or the value of signal pred2",invariance_reachability
always ( pred1 and pred2 -> eventually [0:t1] (always [0:t2] (pred3 and pred4)) ),"On condition that the value of pred1 and pred2 then in response ultimately there needs to be sometime in the first t1 time units, at which for each time instant within the subsequent t2 time units, uninterruptedly the value of signal pred3 and pred4",stabilization_recurrence
always ((pred1 and pred2) and pred3),In the future till the simulation ends pred1 and pred2 and the value of signal pred3,invariance_reachability
always ( pred1 -> always (pred2) ),"Globally, in case that the mode of signal pred1 then all of the following conditions hold: in the future until the end of the execution, the value of pred2 without interruption.",temporal_response
always ( fall (pred1) -> pred2 and pred3 ),"As soon as the event that the mode of signal pred1 happens, then in response the value of pred2 and pred3 at the same time point.",immediate_response
always ( not (historically [0:t1] (pred1)) -> eventually (always [0:t2] (pred2)) ),"It is always the case that everytime when the condition that pred1 within the elapsed t1 time units is not true, then in response finally at a certain time point in the future before the end of the execution for every time point within the coming t2 time units the pred2 all the time.",stabilization_recurrence
always ( (not fall (pred1 and pred2)) until [0:t1] (fall (pred3)) -> eventually (fall (pred4)) ),"As soon as the scenario that the state of signal pred3 gets observed finally at a certain time point in the subsequent t1 time units, till then consistently the event that the pred1 and pred2 won't be detected then the following condition holds: there will have to exist a certain time point in the future, at which the transition action that the state of pred4 gets observed ultimately.",temporal_response
always [val1:t1] (not (pred1 and pred2) or pred3),"In the first t1 time units, pred1 and pred2 or the value of signal pred3",invariance_reachability
always ( rise (pred1 and pred2) -> always [0:t1] (eventually [0:t2] (rise (pred3 and pred4))) ),In the case the scenario that the value of signal pred1 and pred2 is detected then the following condition holds: for each moment within the coming t1 time units eventually at a certain time instant in the coming t2 time units the scenario that the pred3 and pred4 ought to happen.,stabilization_recurrence
always ( fall (pred1 and pred2) -> (pred3) until [val1:t1] (pred4 and pred5) ),It is always the case that in case that the value of signal pred1 and pred2 then the following condition holds: pred3 and shall stay like this consistently till eventually the value of pred4 and pred5 which will be detected at a certain time point within the subsequent t1 time units.,temporal_response
always ( pred1 -> eventually (pred2) ),"Globally, everytime when the mode of signal pred1 then all of the following conditions are true: there needs to exist a time in the future before the end of the simulation, at which the pred2",temporal_response
always ( not fall (pred1) -> always [t1:t2] (eventually (rise (pred2))) ),"While the event that the value of pred1 does not take place, then for each time instant within the first t1 to t2 time units, at sometime in the future before the end of the execution, the value of pred2",stabilization_recurrence
eventually (fall (pred1)),"At sometime in the future before the end of the simulation, the scenario that the mode of signal pred1 should get detected eventually.",invariance_reachability
always ( rise (pred1) -> pred2 and pred3 ),"Globally, everytime when the scenario that the pred1 gets detected then all of the following conditions hold: pred2 simultaneously and at the same time point the mode of signal pred3",immediate_response
eventually [0:t1] (pred1 and rise (pred2)),"There ought to be a time in less than t1 time units, at which the state of signal pred1 and finally the transition action that the value of pred2 shall occur.",invariance_reachability
always [t1:t2] (not fall (pred1 and pred2) or not (pred3)),"For each time instant in the first t1 to t2 time units, uninterruptedly the transition action that the pred1 and pred2 will never be detected, or consecutively the pred3",invariance_reachability
always [0:t1] (pred1 or pred2),For every time instant during the first t1 time units the state of signal pred1 or continuously the value of pred2,invariance_reachability
always ( historically [0:t1] (pred1) -> eventually [0:t2] (always [0:t3] (pred2)) ),"If the value of signal pred1 and this scenario has sustained without interruption for the past t1 time units then finally at a certain time point in the coming t2 time units for every time point in the coming t3 time units, pred2 consecutively.",stabilization_recurrence
always [t1:t2] (pred1 or pred2),"For every time point during the first t1 to t2 time units, the pred1 consecutively or the value of pred2",invariance_reachability
always [t1:t2] (pred1),The value of signal pred1 for every time point during the first t1 to t2 time units.,invariance_reachability
always ( rise (pred1) -> (pred2) until [0:t1] (pred3) ),"If the scenario that the value of signal pred1 is observed then the following condition holds: the pred3 at a certain moment within the coming t1 time units, till then the pred2 continuously.",temporal_response
always ( (pred1) since [t1:t2] (pred2) -> always [0:t3] (eventually [0:t4] (pred3)) ),"In case that the state of signal pred1 then this scenario has been sustaining consistently since pred2 which would be observed at sometime within the elapsed t1 to t2 time units then all of the following conditions hold: for each time point during the coming t3 time units, at a time in less than t4 time units, ultimately the mode of pred3",stabilization_recurrence
always ( rise (pred1 and pred2) -> (pred3) until [0:t1] (pred4 and pred5) ),"As soon as the scenario that the pred1 and pred2 takes place, then all of the following conditions hold: the value of signal pred3 all the time till the value of signal pred4 and pred5 finally at a certain time instant in the next t1 time units.",temporal_response
always (pred1 or pred2),"In the future before the simulation ends, the mode of signal pred1 all the time or pred2",invariance_reachability
always [t1:t2] (pred1),The value of signal pred1 without interruption for the first t1 to t2 time units.,invariance_reachability
always ( rise (pred1) and pred2 -> not (eventually (pred3 and pred4)) ),"It is always the case that in case that the scenario that the pred1 takes place, and the value of signal pred2 then in response pred3 and pred4 at any time instant in the future before the end of the simulation.",temporal_response
always [0:t1] (pred1),For every time instant in the first t1 time units the pred1,invariance_reachability
eventually (rise (pred1)),"There ought to be finally a time in the future before the end of the execution, at which the event that the state of signal pred1 gets detected.",invariance_reachability
always ( (not (pred1)) since [t1:t2] (pred2) -> always [0:t3] (eventually [0:t4] (rise (pred3 and pred4))) ),"In the case there will exist a time within the elapsed t1 to t2 time units, at which the pred2 once, after that without interruption the mode of signal pred1 then in response for every time point within the subsequent t3 time units, the transition action that pred3 and pred4 ought to eventually happen at a time in the next t4 time units.",stabilization_recurrence
always [t1:t2] (pred1),Consistently the mode of pred1 for every time instant within t1 to t2 time units.,invariance_reachability
always [t1:t2] (not (pred1 and pred2) or not (pred3)),"For each moment within the first t1 to t2 time units, pred1 and pred2 continuously, or continuously the mode of pred3",invariance_reachability
always ( rise (pred1 and pred2) -> (pred3 and pred4) until [0:t1] (pred5 and pred6) ),It is always the case that everytime when the transition action that pred1 and pred2 occurs then all of the following conditions hold: the value of pred3 and pred4 until the pred5 and pred6 at a certain moment in the first t1 time units.,temporal_response
always ( pred1 -> always [0:t1] (eventually [0:t2] (rise (pred2))) ),"It is always the case that everytime when the value of pred1 then the following condition is true: for every time instant during the following t1 time units there must be a certain time point during the subsequent t2 time units, at which pred2 finally.",stabilization_recurrence
always ( once [0:t1] (pred1) -> rise ((pred2) until (rise (pred3))) ),"As soon as there would be a certain time point during the past t1 time units, at which the value of pred1 then the condition that the value of signal pred2 till the value of signal pred3 finally at a certain time point in the future before the simulation ends ought to be observed to shift from false to true.",temporal_response
always ( pred1 and pred2 -> eventually (pred3) ),While the value of signal pred1 and pred2 then at a certain time point in the future before the end of the simulation the value of pred3,temporal_response
always ( pred1 -> pred2 and pred3 ),"Globally, during the interval that the pred1 then the following condition is true: the pred2 and pred3 at the same time.",immediate_response
always ( fall (pred1 and pred2) -> (pred3) since (pred4) ),It is always the case that everytime when the scenario that the pred1 and pred2 happens then consistently the value of pred3 since the value of pred4 which should get detected at a certain moment in the past from the start of the execution.,temporal_response
always (pred1),"In the future till the execution ends, the pred1",invariance_reachability
eventually [t1:t2] ((pred1 and pred2) and pred3),At a time during the first t1 to t2 time units the value of signal pred1 and pred2 and ultimately the value of pred3,invariance_reachability
always [0:t1] (pred1 and pred2),"In the first t1 time units, the value of pred1 and the pred2",invariance_reachability
always ( pred1 and pred2 -> (pred3) until [0:t1] (pred4) ),"Everytime when the value of pred1 and the value of pred2 then all of the following conditions are true: there has to be ultimately a time in the following t1 time units, at which the pred4 before this pred3 continuously.",temporal_response
always ( not (pred1) -> eventually [t1:t2] (pred2) ),"Globally, in case that the pred1 then the following condition holds: eventually there exists a certain moment in the following t1 to t2 time units, at which the pred2",temporal_response
always ( rise (pred1) -> always [0:t1] (eventually [0:t2] (pred2)) ),"It is always the case that in case that the value of signal pred1 then all of the following conditions are true: for each time point within the following t1 time units there should exist a time within the following t2 time units, at which the pred2 finally.",stabilization_recurrence
always ( once [0:t1] (pred1) -> always [0:t2] (pred2 and pred3) ),It is always the case that in case that once the mode of signal pred1 at sometime in the last t1 time units then the following condition is true: pred2 and pred3 and then this condition has to keep without interruption for every time instant in the coming t2 time units.,temporal_response
always ( fall (pred1) -> pred2 and (pred3 and pred4) ),"Globally, whenever the transition action that the state of pred1 occurs, then all of the following conditions are true: at once the value of pred2 and at once the pred3 and pred4",immediate_response
always ( rise (pred1) -> always (pred2) ),On condition that the value of signal pred1 then in response the mode of signal pred2 then this condition shall continue consecutively in the future before the end of the simulation.,temporal_response
always ( rise (pred1) -> rise (pred2) ),Everytime when the event that pred1 occurs then the following condition is true: at the same time instant the transition action that the pred2 shall happen.,immediate_response
always [t1:t2] (pred1),"For the first t1 to t2 time units, pred1 all the time.",invariance_reachability
always ( rise (pred1) -> always [t1:t2] (eventually [t3:t4] (rise (pred2))) ),"If the transition action that the mode of signal pred1 gets observed, then the following condition is true: for every time point within the next t1 to t2 time units, at sometime within the coming t3 to t4 time units, the event that the state of pred2 will have to eventually take place.",stabilization_recurrence
eventually [t1:t2] (pred1),Finally the state of signal pred1 at sometime within t1 to t2 time units.,invariance_reachability
always ( pred1 -> pred2 and rise (pred3) ),"Everytime when the pred1 then all of the following conditions hold: the value of signal pred2 immediately, and the transition action that pred3 shall get observed instantly.",immediate_response
always ( pred1 -> always [0:t1] (eventually [0:t2] (pred2)) ),"In the case the value of pred1 then all of the following conditions are true: for every time point within the subsequent t1 time units, there is sometime in less than t2 time units, at which the value of pred2 finally.",stabilization_recurrence
always (pred1),"In the future until the end of the simulation, the value of signal pred1 continuously.",invariance_reachability
eventually [0:t1] (pred1),"There ultimately exists a certain time point in the first t1 time units, at which the value of pred1",invariance_reachability
always ( rise (pred1 and pred2) -> always [0:t1] (eventually [0:t2] (rise (pred3))) ),"In case that the event that the value of signal pred1 and pred2 occurs, then all of the following conditions are true: for each moment within the coming t1 time units there should exist sometime during the first t2 time units, at which ultimately the transition action that pred3 will be detected.",stabilization_recurrence
always ( rise (pred1) -> (pred2) until [0:t1] (pred3) ),"Globally, whenever the transition action that the value of pred1 takes place then the following condition is true: the state of pred3 ultimately at a certain time point during the coming t1 time units, and before that pred2 consistently.",temporal_response
always ( fall (pred1 and pred2) -> rise (pred3 and pred4) and pred5 ),"In the case pred1 and pred2 then all of the following conditions hold: the scenario that the value of signal pred3 and pred4 shall happen right away, and at the same time point the value of signal pred5",immediate_response
eventually [0:t1] (pred1 or pred2),At a certain moment in the first t1 time units ultimately the value of pred1 or eventually the value of signal pred2,invariance_reachability
eventually [t1:t2] (pred1 and pred2),"At a certain moment in the first t1 to t2 time units, pred1 and the value of pred2 ultimately.",invariance_reachability
always ( pred1 and pred2 -> (pred3) until [0:t1] (rise (pred4)) ),"It is always the case that if the value of signal pred1 and pred2 then the following condition is true: the transition action that the state of signal pred4 is detected ultimately at a certain time point within the coming t1 time units, before this the pred3",temporal_response
always ( rise (pred1 and pred2) -> always [0:t1] (eventually [t2:t3] (pred3)) ),"On condition that the transition action that pred1 and pred2 gets observed, then for each moment during the coming t1 time units, there should exist a certain time point during the following t2 to t3 time units ultimately, at which the value of signal pred3",stabilization_recurrence
always (pred1 and pred2),In the future until the execution ends the value of pred1 and pred2 all the time.,invariance_reachability
always ( rise (pred1) -> (pred2) until (rise (pred3)) ),"Globally, if the transition action that the value of signal pred1 occurs, then in response the value of pred2 till at a certain moment in the future before the execution ends, the event that the mode of signal pred3 will happen ultimately.",temporal_response
always ( rise (pred1) -> eventually [t1:t2] (not (pred2)) ),"It is always the case that whenever the event that the value of signal pred1 is observed, then all of the following conditions are true: at sometime within t1 to t2 time units, the mode of signal pred2 eventually.",temporal_response
always ( once [t1:t2] (pred1 and pred2) -> eventually [0:t3] (always (pred3)) ),"Globally, if there would exist a certain time instant in the elapsed t1 to t2 time units, at which the value of pred1 and pred2 once, then all of the following conditions hold: eventually there should be a certain moment during the first t3 time units, at which the state of signal pred3 and should remain like this uninterruptedly in the future.",stabilization_recurrence
always ( fall (pred1 and pred2) -> pred3 and pred4 ),It is always the case that everytime when the scenario that the value of signal pred1 and pred2 is detected then the following condition holds: the value of pred3 and pred4 at once.,immediate_response
always [t1:t2] (not rise (pred1)),"For each time point in the first t1 to t2 time units, consecutively the event that the value of signal pred1 won't get observed.",invariance_reachability
always ( rise (pred1) -> (pred2 and pred3) or pred4 ),"Globally, in case that the transition action that the value of pred1 gets detected, then the following condition holds: pred2 and pred3 at the same time point, or the value of signal pred4 at the same time point.",immediate_response
eventually [0:t1] (pred1 and (pred2 and pred3)),"There is a certain time point during the first t1 time units, at which the value of pred1 finally and pred2 and pred3",invariance_reachability
eventually (rise (pred1)),"There shall be a certain moment in the future before the end of the execution, at which the scenario that the value of pred1 has to take place finally.",invariance_reachability
always ( pred1 or pred2 -> always [0:t1] (eventually [0:t2] (fall (pred3 and pred4))) ),"It is always the case that if the value of signal pred1 or the state of signal pred2 then all of the following conditions hold: for every moment in the first t1 time units, there will be a certain time instant within the coming t2 time units, at which the scenario that the pred3 and pred4 needs to be detected.",stabilization_recurrence
always [t1:t2] (pred1),pred1 consistently for every time instant during the first t1 to t2 time units.,invariance_reachability
always ( rise (pred1 and pred2) -> not (always [t1:t2] (pred3)) ),"Globally, everytime when the pred1 and pred2 then in response the mode of pred3 all the time for each time point during the following t1 to t2 time units.",temporal_response
always ( pred1 -> eventually (always [0:t1] (pred2)) ),"It is always the case that while the value of signal pred1 then ultimately there is a certain time instant in the future, after which for every moment within the following t1 time units the state of pred2 continuously.",stabilization_recurrence
always (pred1),The value of signal pred1 continuously in the future till the simulation ends.,invariance_reachability
eventually [0:t1] (rise (pred1 and pred2)),"At a time in less than t1 time units, ultimately the event that the value of pred1 and pred2 is observed.",invariance_reachability
always ( pred1 -> eventually [t1:t2] (pred2) ),In the case pred1 then pred2 ultimately at a certain time instant during the next t1 to t2 time units.,temporal_response
always ( pred1 and pred2 -> eventually [0:t1] (always [0:t2] (pred3 and pred4)) ),"Globally, whenever the pred1 and the value of signal pred2 then in response ultimately there ought to exist a time within t1 time units, at which pred3 and pred4 all the time for each moment within the coming t2 time units.",stabilization_recurrence
always [0:t1] (not (pred1) or pred2),"For each time point within the first t1 time units, consistently the value of signal pred1 or the pred2",invariance_reachability
always [0:t1] (pred1 and pred2),For each time point within t1 time units the value of pred1 and pred2,invariance_reachability
always ( historically [0:t1] (pred1) -> always [0:t2] (not (pred2)) ),"Everytime when the state of pred1 in the last t1 time units, then the following condition holds: the pred2 and this condition will be continuing consistently for each time instant within t2 time units.",temporal_response
eventually [0:t1] (pred1 and pred2),"There must be finally sometime starting at most t1 time units, at which pred1 and pred2",invariance_reachability
always ( rise (pred1) -> always [0:t1] (eventually [0:t1] (pred2)) ),"On condition that the scenario that the pred1 is observed, then in response for every moment during the following t1 time units, there needs to exist sometime during the subsequent t1 time units ultimately, at which pred2",stabilization_recurrence
always ( fall (pred1 and pred2) -> always [t1:t2] (pred3) ),"Globally, in case that pred1 and pred2 then all of the following conditions hold: pred3 and then ought to stay at this value consistently for each time point within the first t1 to t2 time units.",temporal_response
always ( not (pred1) or pred2 -> always [0:t1] (eventually [0:t2] (fall (pred3 and pred4))) ),"It is always the case that whenever pred1 or the value of pred2 then for every moment within the coming t1 time units, eventually there should exist a certain moment in the subsequent t2 time units, at which pred3 and pred4",stabilization_recurrence
always ( rise (pred1) -> fall (pred2 and pred3) and not (pred4) ),"Globally, if the event that the value of signal pred1 is detected, then in response the scenario that the pred2 and pred3 has to occur at once and instantly the value of pred4",immediate_response
always ( rise (pred1) -> eventually [t1:t2] (pred2) ),"In case that the scenario that the value of signal pred1 happens, then in response at a certain time point within the subsequent t1 to t2 time units, eventually the value of signal pred2",temporal_response
always ( not rise (pred1) or pred2 -> pred3 ),"While the event that the pred1 doesn't occur, or pred2 then all of the following conditions hold: the value of pred3 immediately.",immediate_response
always ( pred1 -> pred2 ),It is always the case that in case that the value of signal pred1 then the following condition holds: simultaneously the value of pred2,immediate_response
always ( rise (pred1) -> (pred2) until [t1:t2] (pred3) ),"It is always the case that in case that the event that the value of pred1 gets detected, then all of the following conditions are true: the value of signal pred2 and this scenario will last till the pred3 which shall get detected at sometime in the following t1 to t2 time units ultimately.",temporal_response
always ( rise (pred1 and pred2) -> always [t1:t2] (eventually [0:t3] (pred3)) ),"It is always the case that in case that the scenario that pred1 and pred2 gets detected then the following condition is true: for every time instant in the next t1 to t2 time units there should be a certain moment in the next t3 time units, at which pred3",stabilization_recurrence
eventually [0:t1] (pred1),"At a certain time instant during the first t1 time units, pred1 ultimately.",invariance_reachability
always ( pred1 or (pred2 and pred3) -> once [0:t1] (pred4) ),"In the case pred1 or the value of pred2 and pred3 then the following condition is true: at a certain time point before at most t1 time units, pred4 once.",temporal_response
always ( fall (pred1) -> eventually [0:t1] (pred2) ),"Globally, if the scenario that the state of signal pred1 gets observed then all of the following conditions hold: there will have to exist a certain time instant within pred2 will be finally greater than or equal to t1.",temporal_response
always [0:t1] (not (pred1) and pred2),"For each time instant within the first t1 time units, uninterruptedly the pred1 and the pred2",invariance_reachability
always ( pred1 and pred2 -> not ((not (pred3 and pred4)) since [0:t1] (not fall (pred5 and pred6))) ),"Globally, when the pred1 and pred2 then the subsequent condition must not be true: the pred3 and pred4 since once there existed a certain moment during the past t1 time units, at which the transition action that pred5 and pred6 was not detected.",temporal_response
always ( (pred1 and pred2) or not (pred3) -> rise (pred4 and pred5) ),"Globally, when the pred1 and pred2 or the value of pred3 then the following condition holds: right away the transition action that the value of signal pred4 and pred5 shall get observed.",immediate_response
always ( rise (pred1) -> (pred2 and pred3) until [0:t1] (not fall (pred4)) ),"It is always the case that everytime when the event that the value of signal pred1 happens, then ultimately the transition action that the value of signal pred4 does not occur at sometime in less than t1 time units, until then the pred2 and pred3",temporal_response
always ( always (pred1) -> always [0:t1] (pred2 and pred3) ),"Globally, in case that the value of pred1 and remains like this in the future till the simulation ends then the pred2 and pred3 then this condition will be consecutively holding for each time point during the next t1 time units.",temporal_response
always ( rise (pred1) -> eventually [0:t1] (always [0:t2] (pred2)) ),"If the transition action that the value of pred1 takes place then the following condition holds: there will have to eventually exist a time after at most t1 time units, at which the pred2 then this condition will have to sustain for each moment during the subsequent t2 time units.",stabilization_recurrence
eventually (pred1),"There must be a time in the future before the execution ends, at which eventually the value of signal pred1",invariance_reachability
